feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,cat_feature_1,cat_feature_2,cat_feature_3,region,season,target
5.5,2.79,4.43,1.98,2.19,1.25,2.96,0.3,A,Y,Low,West,Fall,1
7.8,2.74,5.83,0.6,2.09,1.17,1.24,0.32,A,Y,High,North,Summer,2
6.93,4.72,5.56,2.63,0.38,0.85,1.73,1.05,B,Y,Medium,South,Spring,2
6.39,2.75,1.92,1.88,2.78,1.71,3.32,0.83,A,Y,Medium,West,Winter,1
4.62,2.82,1.9,0.56,1.75,1.45,2.59,1.23,D,Z,Medium,East,Winter,0
4.62,4.28,2.61,2.89,1.15,2.23,3.78,1.39,A,X,Low,South,Summer,2
4.23,3.35,3.17,1.6,2.29,0.56,2.29,0.7,B,X,Low,East,Fall,0
7.46,4.33,3.45,0.31,0.85,1.79,3.61,0.98,A,Z,High,West,Summer,1
6.4,2.2,5.08,1.92,2.11,2.03,2.35,0.85,B,Y,Low,East,Summer,1
6.83,3.46,1.34,0.83,0.22,2.02,3.94,1.48,B,X,High,West,Spring,1
4.08,2.1,1.21,2.43,2.53,2.27,3.88,1.28,A,Y,Medium,West,Summer,1
7.88,2.19,3.35,2.47,1.4,1.96,1.99,1.39,B,Z,High,East,Winter,2
7.33,4.72,5.18,2.94,1.95,2.36,3.66,0.53,B,Z,High,East,Spring,2
4.85,2.42,2.16,1.56,0.74,1.17,3.54,1.2,D,Y,Medium,North,Fall,0
4.73,3.6,4.85,1.42,2.06,1.51,1.63,0.55,A,X,Medium,South,Winter,2
4.73,3.23,2.56,2.29,2.34,0.53,2.87,0.47,B,Z,Low,East,Spring,1
5.22,3.04,6.32,0.48,1.47,0.51,1.22,1.43,D,Y,Low,West,Spring,0
6.1,4.7,6.37,1.69,1.89,0.98,3.51,0.23,C,Z,Low,South,Winter,1
5.73,2.07,2.78,1.68,1.42,0.7,1.52,1.46,D,X,Medium,West,Summer,0
5.16,3.99,2.38,0.36,2.69,1.02,1.21,0.39,D,X,High,South,Spring,0
6.45,4.89,3.47,1.31,1.54,0.85,2.2,1.27,B,Y,Medium,East,Summer,2
4.56,3.68,2.44,2.57,2.54,0.56,2.73,0.56,C,X,Medium,South,Summer,1
5.17,4.81,5.03,2.58,2.42,2.32,3.56,0.66,A,Y,Medium,South,Winter,2
5.47,2.16,5.96,0.39,1.29,0.52,3.92,0.48,B,Z,Medium,West,Fall,1
5.82,3.26,5.04,0.36,0.77,1.97,2.32,0.96,C,Y,Medium,South,Summer,1
7.14,2.78,5.95,0.86,1.28,0.8,1.18,0.65,B,Z,Medium,North,Fall,1
4.8,4.19,3.38,2.64,2.5,2.32,3.25,1.05,C,Y,High,East,Winter,2
6.06,4.94,1.94,0.47,0.76,2.29,2.7,0.22,C,Z,High,East,Spring,0
6.37,2.77,5.43,2.19,1.62,1.81,2.34,0.28,A,Z,High,West,Spring,2
4.19,3.96,3.16,0.39,2.44,1.84,1.93,0.33,D,Y,High,West,Winter,0
6.43,2.59,5.03,1.91,1.13,0.51,2.51,0.74,B,Y,Low,North,Winter,1
4.68,3.7,2.62,1.13,1.96,2.47,2.02,1.26,A,Y,High,East,Spring,1
4.26,3.39,1.49,2.39,0.81,2.26,3.27,1.35,D,Y,Low,East,Spring,0
